contraction,count
'aight,254506
aren't,1692210
can't,16726386
'cause,131809360
could've,41916
couldn't,2178040
didn't,8004508
doesn't,6109266
don't,40143664
d'ye,9128298
e'er,681466
everybody's,109326
everyone's,698164
g'day,63714
giv'n,679300
hadn't,320356
hasn't,589712
haven't,3006300
he'd,1360938
he'll,45583768
he's,3236464
how'd,58874
how's,1081120
i'll,32287934
i'm,74333846
i'm'a,3026884
i'm'o,4796816
i've,7028334
isn't,3850694
it'd,543818
it'll,171780
it's,1051255514
let's,31753650
ma'am,108376
ne'er,279652
o'clock,154444
o'er,351402
ol',11792186
's,1130247962
shan't,48580
she'd,13440794
she'll,41198636
she's,2031780
should've,36882
shouldn't,810548
somebody's,46644
someone's,681944
something's,768142
so're,6660670
that'll,28522
that's,20068426
that'd,28254
there's,4004090
they'd,117240
they'll,167544
they're,863620
they've,171724
'tis,6420212
to've,179268
'twas,1117732
wasn't,2525376
we'd,133592396
we'll,724165510
we're,1141399116
we've,421530
weren't,447186
what's,12924526
when's,96232
where's,521716
who'd,32088
who're,10398978
who's,1559166
why's,297790
won't,7957386
would've,71840
wouldn't,2370520
y'all,1251660
you'd,358536
you'll,1429778
you're,2720794
you've,952878
